timestamp,grid_size,grid_width,grid_height,max_possible_score,agent,agent_category,episode,points_scored,game_won,game_won_percentage,moves_made,total_reward,efficiency,snake_length,survival_time,termination_reason,score_percentage,board_coverage,moves_per_food,complexity_ratio,is_training_grid,successful_episode,high_performance
20251015_171004,4x4,4,4,13,A*,Simple_Agent,39,1,0,0,6,-47.983333333333334,0.16666666666666666,4,0.0,self_collision,7.6923076923076925,25.0,6.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,40,1,0,0,3,-49.266666666666666,0.3333333333333333,4,0.0,self_collision,7.6923076923076925,25.0,3.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,41,3,0,0,11,55.05000000000001,0.2727272727272727,6,0.0,self_collision,23.076923076923077,37.5,3.6666666666666665,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,42,1,0,0,5,-48.35,0.2,4,0.0,self_collision,7.6923076923076925,25.0,5.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,43,1,0,0,4,-48.36666666666667,0.25,4,0.0,self_collision,7.6923076923076925,25.0,4.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,44,3,0,0,9,53.23333333333332,0.3333333333333333,6,0.0,self_collision,23.076923076923077,37.5,3.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,45,3,0,0,8,53.383333333333326,0.375,6,0.0,self_collision,23.076923076923077,37.5,2.6666666666666665,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,46,8,0,0,31,314.2166666666665,0.25806451612903225,11,0.0,self_collision,61.53846153846154,68.75,3.875,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,47,6,0,0,14,208.46666666666664,0.42857142857142855,9,0.0,wall_collision,46.15384615384615,56.25,2.3333333333333335,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,48,1,0,0,6,-47.733333333333334,0.16666666666666666,4,0.0,self_collision,7.6923076923076925,25.0,6.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,49,1,0,0,4,-49.28333333333333,0.25,4,0.0,self_collision,7.6923076923076925,25.0,4.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,50,1,0,0,4,-48.61666666666667,0.25,4,0.0,self_collision,7.6923076923076925,25.0,4.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,51,5,0,0,15,156.80000000000007,0.3333333333333333,8,0.0,self_collision,38.46153846153847,50.0,3.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,52,1,0,0,5,-48.35,0.2,4,0.0,self_collision,7.6923076923076925,25.0,5.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,53,9,0,0,26,363.0499999999999,0.34615384615384615,12,0.0,self_collision,69.23076923076923,75.0,2.888888888888889,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,54,1,0,0,5,-48.35,0.2,4,0.0,self_collision,7.6923076923076925,25.0,5.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,55,1,0,0,3,-48.85,0.3333333333333333,4,0.0,self_collision,7.6923076923076925,25.0,3.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,56,1,0,0,3,-48.85,0.3333333333333333,4,0.0,self_collision,7.6923076923076925,25.0,3.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,57,9,0,0,19,360.8,0.47368421052631576,12,0.0,wall_collision,69.23076923076923,75.0,2.111111111111111,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,58,3,0,0,11,54.96666666666667,0.2727272727272727,6,0.0,self_collision,23.076923076923077,37.5,3.6666666666666665,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,59,7,0,0,21,259.9499999999999,0.3333333333333333,10,0.0,wall_collision,53.84615384615385,62.5,3.0,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,60,7,0,0,23,260.3166666666666,0.30434782608695654,10,0.0,self_collision,53.84615384615385,62.5,3.2857142857142856,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,61,1,0,0,3,-48.85,0.3333333333333333,4,0.0,self_collision,7.6923076923076925,25.0,3.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,62,5,0,0,16,157.70000000000005,0.3125,8,0.0,self_collision,38.46153846153847,50.0,3.2,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,63,8,0,0,17,310.3166666666666,0.47058823529411764,11,0.0,self_collision,61.53846153846154,68.75,2.125,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,64,9,0,0,23,362.9833333333333,0.391304347826087,12,0.0,self_collision,69.23076923076923,75.0,2.5555555555555554,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,65,6,0,0,19,209.46666666666658,0.3157894736842105,9,0.0,self_collision,46.15384615384615,56.25,3.1666666666666665,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,66,1,0,0,6,-48.11666666666667,0.16666666666666666,4,0.0,self_collision,7.6923076923076925,25.0,6.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,67,1,0,0,4,-48.75,0.25,4,0.0,self_collision,7.6923076923076925,25.0,4.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,68,6,0,0,19,209.33333333333331,0.3157894736842105,9,0.0,wall_collision,46.15384615384615,56.25,3.1666666666666665,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,69,3,0,0,7,53.73333333333335,0.42857142857142855,6,0.0,self_collision,23.076923076923077,37.5,2.3333333333333335,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,70,7,0,0,34,263.1166666666666,0.20588235294117646,10,0.0,wall_collision,53.84615384615385,62.5,4.857142857142857,0.16,False,1,1
